date;hour;precipitationInMm
1989-01-01;00:00;14.3
1989-02-01;00:00;286.3
1989-03-01;00:00;57.6
1989-04-01;00:00;6.8
1989-05-01;00:00;17.5
1989-06-01;00:00;37.8
1989-07-01;00:00;0.0
1989-08-01;00:00;1.8
1989-09-01;00:00;1.5
1989-10-01;00:00;63.4
1989-11-01;00:00;79.8
1989-12-01;00:00;130.0
1990-01-01;00:00;84.6
1990-02-01;00:00;20.5
1990-03-01;00:00;69.9
1990-04-01;00:00;43.6
1990-05-01;00:00;1.7
1990-06-01;00:00;1.7
1990-07-01;00:00;0.6
1990-08-01;00:00;9.3
1990-09-01;00:00;0.2
1990-10-01;00:00;56.0
1990-11-01;00:00;22.2
1990-12-01;00:00;152.9
1991-01-01;00:00;48.4
1991-02-01;00:00;26.3
1991-03-01;00:00;71.5
1991-04-01;00:00;0.0
1991-05-01;00:00;5.2
1991-06-01;00:00;36.8
1991-07-01;00:00;0.0
1991-08-01;00:00;0.0
1991-09-01;00:00;6.7
1991-10-01;00:00;5.3
1991-11-01;00:00;58.5
1991-12-01;00:00;56.3
1992-01-01;00:00;33.2
1992-02-01;00:00;35.8
1992-03-01;00:00;24.5
1992-04-01;00:00;9.2
1992-05-01;00:00;8.3
1992-06-01;00:00;0.3
1992-07-01;00:00;0.0
1992-08-01;00:00;1.6
1992-09-01;00:00;0.0
1992-10-01;00:00;22.5
1992-11-01;00:00;136.9
1992-12-01;00:00;163.1
1993-01-01;00:00;83.0
1993-02-01;00:00;83.0
1993-03-01;00:00;118.6
1993-04-01;00:00;47.7
1993-05-01;00:00;1.8
1993-06-01;00:00;14.6
1993-07-01;00:00;0.9
1993-08-01;00:00;13.6
1993-09-01;00:00;1.3
1993-10-01;00:00;9.9
1993-11-01;00:00;39.4
1993-12-01;00:00;125.8
1994-01-01;00:00;76.4
1994-02-01;00:00;7.8
1994-03-01;00:00;60.5
1994-04-01;00:00;9.8
1994-05-01;00:00;13.6
1994-06-01;00:00;0.1
1994-07-01;00:00;6.0
1994-08-01;00:00;4.2
1994-09-01;00:00;10.4
1994-10-01;00:00;55.5
1994-11-01;00:00;3.1
1994-12-01;00:00;74.3
1995-01-01;00:00;324.0
1995-02-01;00:00;38.0
1995-03-01;00:00;36.6
1995-04-01;00:00;75.1
1995-05-01;00:00;28.4
1995-06-01;00:00;0.0
1995-07-01;00:00;0.0
1995-08-01;00:00;21.0
1995-09-01;00:00;1.4
1995-10-01;00:00;55.5
1995-11-01;00:00;104.1
1995-12-01;00:00;95.2
1996-01-01;00:00;173.2
1996-02-01;00:00;218.4
1996-03-01;00:00;58.1
1996-04-01;00:00;27.4
1996-05-01;00:00;36.4
1996-06-01;00:00;5.9
1996-07-01;00:00;11.1
1996-08-01;00:00;29.4
1996-09-01;00:00;1.9
1996-10-01;00:00;20.2
1996-11-01;00:00;50.9
1996-12-01;00:00;64.3
1997-01-01;00:00;110.2
1997-02-01;00:00;24.8
1997-03-01;00:00;181.1
1997-04-01;00:00;58.7
1997-05-01;00:00;4.3
1997-06-01;00:00;0.0
1997-07-01;00:00;4.5
1997-08-01;00:00;10.4
1997-09-01;00:00;20.8
1997-10-01;00:00;39.3
1997-11-01;00:00;126.0
1997-12-01;00:00;128.5
1998-01-01;00:00;114.3
1998-02-01;00:00;13.4
1998-03-01;00:00;8.3
1998-04-01;00:00;30.3
1998-05-01;00:00;1.2
1998-06-01;00:00;0.0
1998-07-01;00:00;5.3
1998-08-01;00:00;0.2
1998-09-01;00:00;20.8
1998-10-01;00:00;90.5
1998-11-01;00:00;173.9
1998-12-01;00:00;187.1
1999-01-01;00:00;39.8
1999-02-01;00:00;123.4
1999-03-01;00:00;95.8
1999-04-01;00:00;42.7
1999-05-01;00:00;19.1
1999-06-01;00:00;2.1
1999-07-01;00:00;4.1
1999-08-01;00:00;17.6
1999-09-01;00:00;19.1
1999-10-01;00:00;44.3
1999-11-01;00:00;151.1
1999-12-01;00:00;94.7
2000-01-01;00:00;112.4
2000-02-01;00:00;425.0
2000-03-01;00:00;185.2
2000-04-01;00:00;54.6
2000-05-01;00:00;11.4
2000-06-01;00:00;8.3
2000-07-01;00:00;3.0
2000-08-01;00:00;0.0
2000-09-01;00:00;33.1
2000-10-01;00:00;12.9
2000-11-01;00:00;175.1
2000-12-01;00:00;94.6
2001-01-01;00:00;38.8
2001-02-01;00:00;146.1
2001-03-01;00:00;82.1
2001-04-01;00:00;59.5
2001-05-01;00:00;11.5
2001-06-01;00:00;3.0
2001-07-01;00:00;1.9
2001-08-01;00:00;1.5
2001-09-01;00:00;0.1
2001-10-01;00:00;20.4
2001-11-01;00:00;224.9
2001-12-01;00:00;125.8
2002-01-01;00:00;78.1
2002-02-01;00:00;8.8
2002-03-01;00:00;77.6
2002-04-01;00:00;27.7
2002-05-01;00:00;1.0
2002-06-01;00:00;5.9
2002-07-01;00:00;0.0
2002-08-01;00:00;1.3
2002-09-01;00:00;5.4
2002-10-01;00:00;51.6
2002-11-01;00:00;26.5
2002-12-01;00:00;41.5
2003-01-01;00:00;27.7
2003-02-01;00:00;27.3
2003-03-01;00:00;35.6
2003-04-01;00:00;53.8
2003-05-01;00:00;1.7
2003-06-01;00:00;30.1
2003-07-01;00:00;0.0
2003-08-01;00:00;0.0
2003-09-01;00:00;31.7
2003-10-01;00:00;18.6
2003-11-01;00:00;24.6
2003-12-01;00:00;22.5
2004-01-01;00:00;208.2
2004-02-01;00:00;152.8
2004-03-01;00:00;85.2
2004-04-01;00:00;60.0
2004-05-01;00:00;0.6
2004-06-01;00:00;1.3
2004-07-01;00:00;36.9
2004-08-01;00:00;6.3
2004-09-01;00:00;33.4
2004-10-01;00:00;36.2
2004-11-01;00:00;235.4
2004-12-01;00:00;149.4
2005-01-01;00:00;130.9
2005-02-01;00:00;53.6
2005-03-01;00:00;52.9
2005-04-01;00:00;31.1
2005-05-01;00:00;6.5
2005-06-01;00:00;0.0
2005-07-01;00:00;5.8
2005-08-01;00:00;0.3
2005-09-01;00:00;0.0
2005-10-01;00:00;9.8
2005-11-01;00:00;147.9
2005-12-01;00:00;121.7
2006-01-01;00:00;145.3
2006-02-01;00:00;195.1
2006-03-01;00:00;194.6
2006-04-01;00:00;0.0
2006-05-01;00:00;-99.0
2006-06-01;00:00;-99.0
2006-07-01;00:00;-99.0
2006-08-01;00:00;-99.0
2006-09-01;00:00;-99.0
2006-10-01;00:00;-99.0
2006-11-01;00:00;-99.0
2006-12-01;00:00;-99.0
2007-01-01;00:00;145.3
2007-02-01;00:00;195.1
2007-03-01;00:00;194.6
2007-04-01;00:00;0.0
2007-05-01;00:00;-99.0
2007-06-01;00:00;-99.0
2007-07-01;00:00;-99.0
2007-08-01;00:00;-99.0
2007-09-01;00:00;-99.0
2007-10-01;00:00;-99.0
2007-11-01;00:00;-99.0
2007-12-01;00:00;-99.0
2008-01-01;00:00;145.3
2008-02-01;00:00;195.1
2008-03-01;00:00;194.6
2008-04-01;00:00;0.0
2008-05-01;00:00;-99.0
2008-06-01;00:00;-99.0
2008-07-01;00:00;-99.0
2008-08-01;00:00;-99.0
2008-09-01;00:00;-99.0
2008-10-01;00:00;-99.0
2008-11-01;00:00;-99.0
2008-12-01;00:00;-99.0
2009-01-01;00:00;145.3
2009-02-01;00:00;195.1
2009-03-01;00:00;194.6
2009-04-01;00:00;0.0
2009-05-01;00:00;-99.0
2009-06-01;00:00;-99.0
2009-07-01;00:00;-99.0
2009-08-01;00:00;-99.0
2009-09-01;00:00;-99.0
2009-10-01;00:00;-99.0
2009-11-01;00:00;-99.0
2009-12-01;00:00;-99.0
2010-01-01;00:00;145.3
2010-02-01;00:00;195.1
2010-03-01;00:00;194.6
2010-04-01;00:00;0.0
2010-05-01;00:00;-99.0
2010-06-01;00:00;-99.0
2010-07-01;00:00;-99.0
2010-08-01;00:00;-99.0
2010-09-01;00:00;-99.0
2010-10-01;00:00;-99.0
2010-11-01;00:00;-99.0
2010-12-01;00:00;-99.0
2011-01-01;00:00;145.3
2011-02-01;00:00;195.1
2011-03-01;00:00;194.6
2011-04-01;00:00;0.0
2011-05-01;00:00;-99.0
2011-06-01;00:00;-99.0
2011-07-01;00:00;-99.0
2011-08-01;00:00;-99.0
2011-09-01;00:00;-99.0
2011-10-01;00:00;-99.0
2011-11-01;00:00;-99.0
2011-12-01;00:00;-99.0
2012-01-01;00:00;145.3
2012-02-01;00:00;195.1
2012-03-01;00:00;194.6
2012-04-01;00:00;0.0
2012-05-01;00:00;-99.0
2012-06-01;00:00;-99.0
2012-07-01;00:00;-99.0
2012-08-01;00:00;-99.0
2012-09-01;00:00;-99.0
2012-10-01;00:00;-99.0
2012-11-01;00:00;-99.0
2012-12-01;00:00;-99.0
2013-01-01;00:00;145.3
2013-02-01;00:00;195.1
2013-03-01;00:00;194.6
2013-04-01;00:00;0.0
2013-05-01;00:00;-99.0
2013-06-01;00:00;-99.0
2013-07-01;00:00;-99.0
2013-08-01;00:00;-99.0
2013-09-01;00:00;-99.0
2013-10-01;00:00;-99.0
2013-11-01;00:00;-99.0
2013-12-01;00:00;-99.0
2014-01-01;00:00;145.3
2014-02-01;00:00;195.1
2014-03-01;00:00;194.6
2014-04-01;00:00;0.0
2014-05-01;00:00;-99.0
2014-06-01;00:00;-99.0
2014-07-01;00:00;-99.0
2014-08-01;00:00;-99.0
2014-09-01;00:00;-99.0
2014-10-01;00:00;-99.0
2014-11-01;00:00;-99.0
2014-12-01;00:00;-99.0
